Gene	sgRNA	eff
CDC42SE2	sgRNA044788	1
CDC42SE2	sgRNA044787	1
SPC25	sgRNA045420	1
SPC25	sgRNA045422	1
SPC25	sgRNA045421	1
SPC25	sgRNA045419	1
MIF4GD	sgRNA045432	1
MIF4GD	sgRNA045433	1
MIF4GD	sgRNA045434	1
MIF4GD	sgRNA045431	1
TENM2	sgRNA045480	1
TENM2	sgRNA045481	1
TENM2	sgRNA045482	1
TENM2	sgRNA045479	1
4-Mar	sgRNA045893	1
4-Mar	sgRNA045891	1
4-Mar	sgRNA045894	1
4-Mar	sgRNA045892	1
SCAF1	sgRNA046625	1
SCAF1	sgRNA046623	1
SCAF1	sgRNA046624	1
SCAF1	sgRNA046626	1
C14orf93	sgRNA047028	1
C14orf93	sgRNA047027	1
C14orf93	sgRNA047030	1
C14orf93	sgRNA047029	1
CTAGE1	sgRNA047893	1
CTAGE1	sgRNA047891	1
CTAGE1	sgRNA047894	1
CTAGE1	sgRNA047892	1
CASD1	sgRNA048250	1
CASD1	sgRNA048248	1
CASD1	sgRNA048249	1
CASD1	sgRNA048247	1
OR4K1	sgRNA049269	1
OR4K1	sgRNA049268	1
OR4K1	sgRNA049270	1
OR4K1	sgRNA049267	1
FAM184A	sgRNA049453	1
FAM184A	sgRNA049451	1
FAM184A	sgRNA049452	1
FAM184A	sgRNA049454	1
NEIL1	sgRNA049551	1
NEIL1	sgRNA049554	1
NEIL1	sgRNA049552	1
NEIL1	sgRNA049553	1
GALNT12	sgRNA049662	1
GALNT12	sgRNA049661	1
GALNT12	sgRNA049660	1
GALNT12	sgRNA049659	1
OBFC1	sgRNA050543	1
OBFC1	sgRNA050545	1
OBFC1	sgRNA050544	1
OBFC1	sgRNA050546	1
DNAJC5	sgRNA051153	1
DNAJC5	sgRNA051151	1
DNAJC5	sgRNA051154	1
DNAJC5	sgRNA051152	1
PBX4	sgRNA051243	1
PBX4	sgRNA051246	1
PBX4	sgRNA051244	1
PBX4	sgRNA051245	1
SYNC	sgRNA051608	1
SYNC	sgRNA051609	1
SYNC	sgRNA051610	1
SYNC	sgRNA051607	1
FAM49A	sgRNA051667	1
FAM49A	sgRNA051670	1
FAM49A	sgRNA051668	1
FAM49A	sgRNA051669	1
PITPNM3	sgRNA052068	1
PITPNM3	sgRNA052067	1
PITPNM3	sgRNA052070	1
PITPNM3	sgRNA052069	1
TTC25	sgRNA052187	1
TTC25	sgRNA052189	1
TTC25	sgRNA052188	1
TTC25	sgRNA052190	1
ZNF541	sgRNA053119	1
ZNF541	sgRNA053120	1
ZNF541	sgRNA053121	1
ZNF541	sgRNA053122	1
FYTTD1	sgRNA053212	1
FYTTD1	sgRNA053214	1
FYTTD1	sgRNA053211	1
FYTTD1	sgRNA053213	1
ARFGAP2	sgRNA053548	1
ARFGAP2	sgRNA053549	1
ARFGAP2	sgRNA053547	1
ARFGAP2	sgRNA053550	1
ZNF512	sgRNA053635	1
ZNF512	sgRNA053636	1
ZNF512	sgRNA053638	1
